,name,Action,Adventure,Casual,Horror,Multiplayer,Racing,RPG,Simulation,Sport,Strategy,firstReleaseDate,earlyAccess,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamUrl
2410,Caution Ahead: Part 1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-20,False,105,3.99,343.0,1.5126230589645,100,Hobbyist,Ionic Relay,Ionic Relay,https://store.steampowered.com/app/2809570
2411,Cavalry Charge·Three Kingdoms,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2024-12-14,False,18,6.99,101.0,29.67369023235615,100,Hobbyist,Liudao Wuyu Game Studio,T.F.A.N.C.S.,https://store.steampowered.com/app/3349670
2412,Cave Crawler 2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-09,False,1869,0.0,0.0,1.2337317494267024,97,Hobbyist,Evan Youssef,Evan Youssef,https://store.steampowered.com/app/3000490
2413,Cave Ghost,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-09-17,False,1,199.99,179.0,0.0,100,Hobbyist,Remax42,"Remax42,MsGlobal",https://store.steampowered.com/app/3200830
2414,Cave Hikers,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-06,False,98,9.99,881.0,6.1448043535788015,100,Hobbyist,"Studio Spektar,Porcupine Parkour","Studio Spektar,Porcupine Parkour",https://store.steampowered.com/app/2850620
2415,Cave No. 6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-11-13,False,37,3.99,132.0,1.0659406696424008,33,Indie,Studio Six,Studio Six,https://store.steampowered.com/app/3169440
2416,Cave in,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-05-19,False,15,1.99,13.0,4.839855144953548,100,Hobbyist,Hypovolemiadeveloper,Hypovolemiadeveloper,https://store.steampowered.com/app/2944190
2417,Cave of Illusions: Twistyland,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-30,False,74,2.99,161.0,0.3289393939393939,91,Indie,Vidas Salavejus,PUZZLE Games,https://store.steampowered.com/app/2785450
2418,CaveLoop,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-12-05,False,1,9.99,8.0,1.02995060063277,100,Hobbyist,Tyrfing Gaming,Tyrfing Gaming,https://store.steampowered.com/app/3052740
2419,Caviar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-04-15,False,75,2.99,161.0,0.0,67,Hobbyist,robinz,robinz,https://store.steampowered.com/app/2792460
